,Clonotypes,Associated_Clones,class
26,41143,0,0
38,124127,0,0
14,24028,0,1
19,50292,1,1
0,31256,0,1
43,158796,0,0
36,112094,0,0
25,116449,0,0
35,128584,0,0
20,86944,1,1
8,101419,1,1
7,93685,1,1
13,136797,0,1
37,183187,0,0
31,125997,0,0
1,52194,1,1
23,249282,0,0
11,79294,0,1
15,46611,0,1
9,75096,0,1
40,146128,0,0
33,201256,0,0
27,236773,0,0
21,134972,1,1
2,77800,1,1
12,101439,1,1
10,35313,0,1
3,21436,1,1
5,33721,1,1
42,125594,0,0
6,24327,1,1
4,139101,0,1
24,180677,0,0
18,55940,0,1
17,55585,1,1
29,156903,0,0
28,206117,0,0
22,160177,0,0
34,111348,0,0
32,229119,0,0
30,175909,0,0
16,135254,1,1
41,162655,0,0
39,106237,0,0
